span_m,v_flow_ms,time_yr,max_FI,safety_factor,failure_mode,max_defl_mm,defl_span_ratio,q_total_N_m,deg_factor
1.5,5.0,10,0.036922,27.08,shear,3.4582,0.002305,210.8215,0.5488
1.5,5.5,0,0.031966,31.28,shear,3.9638,0.002643,2109.9366,1.0
1.5,5.5,2,0.011777,84.91,shear,2.3151,0.001543,787.289,0.8869
1.5,5.5,5,0.008307,120.38,shear,1.8139,0.001209,298.8754,0.7408
1.5,5.5,8,0.018925,52.84,shear,2.5738,0.001716,235.0325,0.6188
1.5,5.5,10,0.043529,22.97,shear,3.7527,0.002502,223.2557,0.5488
1.5,6.0,0,0.042091,23.76,shear,4.546,0.003031,2452.4545,1.0
1.5,6.0,2,0.015152,66.0,shear,2.6282,0.001752,915.8468,0.8869
1.5,6.0,5,0.009962,100.38,shear,1.9866,0.001324,329.1035,0.7408
1.5,6.0,8,0.022175,45.1,shear,2.7851,0.001857,250.721,0.6188
1.5,6.0,10,0.050848,19.67,shear,4.0543,0.002703,236.8741,0.5488
1.5,6.5,0,0.054536,18.34,shear,5.1721,0.003448,2824.7566,1.0
1.5,6.5,2,0.019207,52.06,shear,2.9615,0.001974,1055.5837,0.8869
1.5,6.5,5,0.011837,84.48,shear,2.1661,0.001444,361.9603,0.7408
1.5,6.5,8,0.025772,38.8,shear,3.0019,0.002001,267.7737,0.6188
1.5,6.5,10,0.058917,16.97,shear,4.3629,0.002909,251.6767,0.5488
1.5,7.0,0,0.069643,14.36,shear,5.8421,0.003895,3226.8428,1.0
1.5,7.0,2,0.024029,41.62,shear,3.3149,0.00221,1206.4995,0.8869
1.5,7.0,5,0.013951,71.68,shear,2.3522,0.001568,397.4455,0.7408
1.5,7.0,8,0.029735,33.63,shear,3.2241,0.002149,286.1906,0.6188
1.5,7.0,10,0.067774,14.75,shear,4.6785,0.003119,267.6636,0.5488
1.5,7.5,0,0.087776,11.39,shear,6.5558,0.004371,3658.7132,1.0
1.5,7.5,2,0.029707,33.66,shear,3.6885,0.002459,1368.5942,0.8869
1.5,7.5,5,0.016322,61.27,shear,2.5451,0.001697,435.5593,0.7408
1.5,7.5,8,0.034085,29.34,shear,3.4518,0.002301,305.9717,0.6188
1.5,7.5,10,0.077459,12.91,shear,5.0011,0.003334,284.8346,0.5488
1.5,8.0,0,0.109322,9.15,shear,7.3135,0.004876,4120.3678,1.0
1.5,8.0,2,0.036338,27.52,shear,4.0822,0.002721,1541.8679,0.8869
1.5,8.0,5,0.018969,52.72,shear,2.7448,0.00183,476.3016,0.7408
1.5,8.0,8,0.038841,25.75,shear,3.6849,0.002457,327.1171,0.6188
1.5,8.0,10,0.088013,11.36,shear,5.3308,0.003554,303.1899,0.5488
2.0,0.5,0,0.001125,889.18,shear,1.6873,0.000844,322.8867,1.0
2.0,0.5,2,0.000309,3237.16,shear,0.8569,0.000428,116.5521,0.8869
2.0,0.5,5,0.000877,1140.28,shear,1.3674,0.000684,141.1632,0.7408
2.0,0.5,8,0.002731,366.19,shear,2.2849,0.001142,153.1795,0.6188
2.0,0.5,10,0.006402,156.21,shear,3.3752,0.001688,152.2031,0.5488
2.0,1.0,0,0.001694,590.43,shear,2.0799,0.00104,367.5629,1.0
2.0,1.0,2,0.000557,1796.16,shear,1.1456,0.000573,133.3205,0.8869
2.0,1.0,5,0.001241,805.75,shear,1.6254,0.000813,145.106,0.7408
2.0,1.0,8,0.003703,270.09,shear,2.6631,0.001332,155.2258,0.6188
2.0,1.0,10,0.008667,115.38,shear,3.9318,0.001966,153.9794,0.5488
2.0,1.5,0,0.002672,374.3,shear,2.6111,0.001306,442.0233,1.0
2.0,1.5,2,0.000955,1046.58,shear,1.4979,0.000749,161.2679,0.8869
2.0,1.5,5,0.001716,582.88,shear,1.9046,0.000952,151.6773,0.7408
2.0,1.5,8,0.004922,203.18,shear,3.0585,0.001529,158.6364,0.6188
2.0,1.5,10,0.011502,86.94,shear,4.5106,0.002255,156.9399,0.5488
2.0,2.0,0,0.004222,236.87,shear,3.2809,0.00164,546.2679,1.0
2.0,2.0,2,0.001562,640.23,shear,1.9138,0.000957,200.3942,0.8869
2.0,2.0,5,0.002311,432.8,shear,2.205,0.001103,160.8772,0.7408
2.0,2.0,8,0.006376,156.83,shear,3.4712,0.001736,163.4111,0.6188
2.0,2.0,10,0.014865,67.27,shear,5.1116,0.002556,161.0846,0.5488
2.0,2.5,0,0.006559,152.47,shear,4.0893,0.002045,680.2967,1.0
2.0,2.5,2,0.002443,409.35,shear,2.3935,0.001197,250.6995,0.8869
2.0,2.5,5,0.003044,328.52,shear,2.5267,0.001263,172.7056,0.7408
2.0,2.5,8,0.008089,123.62,shear,3.901,0.00195,169.5501,0.6188
2.0,2.5,10,0.018801,53.19,shear,5.7348,0.002867,166.4136,0.5488
2.0,3.0,0,0.009945,100.56,shear,5.0364,0.002518,844.1096,1.0
2.0,3.0,2,0.003675,272.09,shear,2.9368,0.001468,312.1837,0.8869
2.0,3.0,5,0.003935,254.11,shear,2.8697,0.001435,187.1626,0.7408
2.0,3.0,8,0.010084,99.17,shear,4.348,0.002174,177.0533,0.6188
2.0,3.0,10,0.023357,42.81,shear,6.3802,0.00319,172.9267,0.5488
2.0,3.5,0,0.014685,68.09,shear,6.122,0.003061,1037.7067,1.0
2.0,3.5,2,0.005346,187.06,shear,3.5437,0.001772,384.8468,0.8869
2.0,3.5,5,0.005005,199.8,shear,3.2339,0.001617,204.2481,0.7408
2.0,3.5,8,0.012384,80.75,shear,4.8123,0.002406,185.9207,0.6188
2.0,3.5,10,0.028583,34.99,shear,7.0478,0.003524,180.6241,0.5488
2.0,4.0,0,0.021132,47.32,shear,7.3462,0.003673,1261.0879,1.0
2.0,4.0,2,0.007552,132.41,shear,4.2144,0.002107,468.689,0.8869
2.0,4.0,5,0.006275,159.36,shear,3.6194,0.00181,223.9621,0.7408
2.0,4.0,8,0.015016,66.59,shear,5.2938,0.002647,196.1523,0.6188
2.0,4.0,10,0.034529,28.96,shear,7.7375,0.003869,189.5057,0.5488
2.0,4.5,0,0.02968,33.69,shear,8.7091,0.004355,1514.2533,1.0
2.0,4.5,2,0.010401,96.15,shear,4.9487,0.002474,563.71,0.8869
2.0,4.5,5,0.007769,128.72,shear,4.0261,0.002013,246.3047,0.7408
2.0,4.5,8,0.018005,55.54,shear,5.7924,0.002896,207.7482,0.6188
2.0,4.5,10,0.041246,24.24,shear,8.4495,0.004225,199.5715,0.5488
2.0,5.0,0,0.040799,24.51,shear,10.2105,0.005105,1797.2029,1.0
2.0,5.0,2,0.014009,71.38,shear,5.7466,0.002873,669.91,0.8869
2.0,5.0,5,0.00951,105.15,shear,4.4541,0.002227,271.2757,0.7408
2.0,5.0,8,0.021379,46.77,shear,6.3083,0.003154,220.7082,0.6188
2.0,5.0,10,0.048788,20.5,shear,9.1836,0.004592,210.8215,0.5488
2.0,5.5,0,0.055027,18.17,shear,11.8506,0.005925,2109.9366,1.0
2.0,5.5,2,0.018504,54.04,shear,6.6082,0.003304,787.289,0.8869
2.0,5.5,5,0.011524,86.77,shear,4.9033,0.002452,298.8754,0.7408
2.0,5.5,8,0.025165,39.74,shear,6.8414,0.003421,235.0325,0.6188
2.0,5.5,10,0.057211,17.48,shear,9.9399,0.00497,223.2557,0.5488
2.0,6.0,0,0.072868,13.72,shear,13.6293,0.006815,2452.4545,1.0
2.0,6.0,2,0.024024,41.63,shear,7.5335,0.003767,915.8468,0.8869
2.0,6.0,5,0.013839,72.26,shear,5.3738,0.002687,329.1035,0.7408
2.0,6.0,8,0.029393,34.02,shear,7.3917,0.003696,250.721,0.6188
2.0,6.0,10,0.066571,15.02,shear,10.7184,0.005359,236.8741,0.5488
2.0,6.5,0,0.094913,10.54,shear,15.5465,0.007773,2824.7566,1.0
2.0,6.5,2,0.030715,32.56,shear,8.5225,0.004261,1055.5837,0.8869
2.0,6.5,5,0.016482,60.67,shear,5.8655,0.002933,361.9603,0.7408
2.0,6.5,8,0.034091,29.33,shear,7.9593,0.00398,267.7737,0.6188
2.0,6.5,10,0.076927,13.0,shear,11.5191,0.00576,251.6767,0.5488
2.0,7.0,0,0.121796,8.21,shear,17.6024,0.008801,3226.8428,1.0
2.0,7.0,2,0.038735,25.82,shear,9.5751,0.004788,1206.4995,0.8869
2.0,7.0,5,0.019483,51.33,shear,6.3785,0.003189,397.4455,0.7408
2.0,7.0,8,0.039291,25.45,shear,8.544,0.004272,286.1906,0.6188
2.0,7.0,10,0.088338,11.32,shear,12.342,0.006171,267.6636,0.5488
2.0,7.5,0,0.154198,6.49,shear,19.7969,0.009898,3658.7132,1.0
2.0,7.5,2,0.048251,20.72,shear,10.6913,0.005346,1368.5942,0.8869
2.0,7.5,5,0.022871,43.72,shear,6.9127,0.003456,435.5593,0.7408
2.0,7.5,8,0.045025,22.21,shear,9.1459,0.004573,305.9717,0.6188
2.0,7.5,10,0.100867,9.91,shear,13.1871,0.006594,284.8346,0.5488
2.0,8.0,0,0.192847,5.19,shear,22.13,0.011065,4120.3678,1.0
2.0,8.0,2,0.059442,16.82,shear,11.8713,0.005936,1541.8679,0.8869
2.0,8.0,5,0.02668,37.48,shear,7.4682,0.003734,476.3016,0.7408
2.0,8.0,8,0.051325,19.48,shear,9.7651,0.004883,327.1171,0.6188
2.0,8.0,10,0.114577,8.73,shear,14.0544,0.007027,303.1899,0.5488
2.5,0.5,0,0.001862,536.99,shear,4.0293,0.001612,322.8867,1.0
2.5,0.5,2,0.000487,2052.21,shear,1.9978,0.000799,116.5521,0.8869
